Model \ Metric,R2,MAE,RMSE,SSR
Exp,0.9694585818627593,0.039910179658537284,0.051337690801575776,0.6351695977380057
Sum of Exp,0.9694585817843793,0.039909648457915836,0.05133769086745111,0.6351695993680755
Two-Param Exp,0.9913542668104003,0.023833652345387438,0.027314461631163137,0.17980523522226827
Hyperbolic,0.8551988438590226,0.09267645206133512,0.11178351074607835,3.0114283392071863
