Model \ Metric,R2,MAE,RMSE,SSR
Exp,0.9694937033282748,0.02922765113607805,0.03364719525079269,0.27284423332703683
Sum of Exp,0.9819299473323747,0.020670162350614224,0.02589606835751397,0.16161613188686577
Two-Param Exp,0.9798673876755151,0.021298418531731093,0.027334062871454713,0.180063389327614
Hyperbolic,0.969918344336399,0.024626017564406338,0.03341219377632951,0.2690463010002251
