Model \ Metric,R2,MAE,RMSE,SSR
Exp,0.9050461009962948,0.05272359942926582,0.06709199810785978,1.0848220266353192
Sum of Exp,0.9778810069182944,0.02771423464952725,0.0323815028795463,0.25270337662587383
Two-Param Exp,0.9355765260353233,0.048597704712814285,0.055263246547162366,0.7360203669627213
Hyperbolic,0.9529921977399984,0.038188753746650254,0.047206227869575235,0.537051135871497
