Model \ Metric,R2,MAE,RMSE,SSR
Exp,0.3696060786841664,0.10680706626645065,0.12058102779378803,3.504088007577314
Sum of Exp,0.9965811959553263,0.007165710838464739,0.008879940943777512,0.01900365763075928
Two-Param Exp,0.9781033325618899,0.019029876482083936,0.02247304824773222,0.12171413330832094
Hyperbolic,0.8341043744003607,0.05571826055773893,0.06185722602092656,0.9221422550519625
