Model \ Metric,R2,MAE,RMSE,SSR
Exp,0.4560988215667615,0.09259547683975523,0.1056940403571347,2.6922664702507637
Sum of Exp,0.994453977665069,0.0077826263049894095,0.010672872153212503,0.027452358199715355
Two-Param Exp,0.982377551827106,0.015877108244115486,0.01902495424945832,0.08722968109074969
Hyperbolic,0.8164826959949415,0.05382592091605096,0.06139443547099545,0.9083956863393359
