Model \ Metric,R2,MAE,RMSE,SSR
Exp,0.6673072631637583,0.04486063098143987,0.05416417240701174,0.4870037570410577
Sum of Exp,0.9553222472374829,0.014599432821537108,0.019848884847629616,0.06540038612928047
Two-Param Exp,0.9532809913915894,0.014720702650610672,0.020297252813043936,0.06838842631159892
Hyperbolic,0.773042686358038,0.03716702043769233,0.044736555568013744,0.3322256610789369
