Cell \ Parameter,c,k1,k2
Na0.0,0.7526047111849459,0.0003242183112591646,0.00032422896291792733
Na0.1,0.6749594807002103,0.0022802249362337944,0.00028708084934210906
Na0.2,0.4529168288957725,0.0014379461845954106,6.504241489622354e-05
Na0.3,0.5257548231810957,0.0011661755626616464,4.9431209520750665e-05
K0.1,0.00519658853689659,0.00017605194439949273,-0.00041856921345522944
Li0.2,0.5587979448349013,0.0005227746644484602,-3.4193493469155054e-05
