Cell \ Parameter,k
Na0.0,0.00032422864294213207
Na0.1,0.00043558295380215396
Na0.2,0.0002821864227028523
Na0.3,0.00020667495335174106
K0.1,0.00015609320082538456
Li0.2,0.00010309204965820749
