Cell \ Parameter,c,k
Na0.0,-0.2957165352894995,0.00020342591406614458
Na0.1,0.10509942833235561,0.0006013389350336678
Na0.2,0.3223849957249802,0.0010060345645290418
Na0.3,0.3981016909543408,0.000817325528656598
K0.1,0.21935556619869473,0.00023396201882113093
Li0.2,0.6748259136514704,0.0006951698566143793
