Cell \ Parameter,c
Na0.0,0.0005675239423397777
Na0.1,0.0009052674574640808
Na0.2,0.0005325545607969371
Na0.3,0.0003464259288527937
K0.1,0.00022372710000690164
Li0.2,0.00012633389748283695
